round,task,family,baseline_acc,best_cfg,best_acc,best_delta_pp,outcome
113,protein_ss_seed8_discovery,protein_ss,0.29134179162593765,scalar_l8_train1e4,0.29134179162593765,0.0,flat
114,mbpp_seed7_headprobe,mbpp,0.40618875320367853,head_l10_strong,0.4234509271822705,1.7262173978591977,positive
114,arc_seed7_discovery,other,0.09447399734023938,scalar_l8_train1e4,0.10617886178861789,1.170486444837851,positive
115,punc_seed3_anchor,other,0.08317341898336211,scalar_l8_train1e4,0.0951643399435322,1.1990920960170084,positive
116,mbpp_longctx_seed0_repair,mbpp_longctx,0.1458171458171458,scalar_l8_train1e4,0.16955883622550286,2.3741690408357052,positive
116,hotpot_longctx_seed2_discovery,hotpot,0.08888888888888889,scalar_l8_train1e4,0.08888888888888889,0.0,flat
117,mbpp_seed8_headprobe,mbpp,0.40686061658706035,scalar_l8_sched_cos,0.40358812000603045,-0.32724965810299045,negative
117,arc_seed8_discovery,other,0.09447399734023938,scalar_l8_train1e4,0.09953104220620143,0.5057044865962048,positive
118,protein_ss_seed9_discovery,protein_ss,0.31923893601525183,head_l8,0.31632633935265514,-0.2912596662596689,negative
118,hotpot_seed8_discovery,hotpot,0.09198009198009198,scalar_l8_train8e5,0.10739935739935741,1.5419265419265429,positive
119,punc_seed1_anchor_recheck3,other,0.08608379957245893,head_l8,0.09470166414887275,0.8617864576413823,positive
120,mbpp_longctx_seed1_repair,mbpp_longctx,0.13856513856513855,scalar_l8_train1e4,0.14011914011914012,0.15540015540015661,positive
120,hotpot_longctx_seed3_discovery,hotpot,0.08888888888888889,scalar_l8_sched_cos,0.08888888888888889,0.0,flat
121,hotpot_seed13_discovery,hotpot,0.055639730639730635,scalar_l8_train1e4,0.10973035973035973,5.40906290906291,positive
121,protein_ss_seed10_discovery,protein_ss,0.23927621799300713,scalar_l8_train8e5,0.33615901024536543,9.68827922523583,positive
122,hotpot_seed14_discovery,hotpot,0.09457884457884458,scalar_l8_train8e5,0.09457884457884458,0.0,flat
122,protein_ss_seed11_discovery,protein_ss,0.301216449242765,scalar_l8_train1e4,0.2968304843304843,-0.43859649122807154,negative
123,hotpot_longctx_seed7_discovery,hotpot,0.06666666666666667,scalar_l8_train1e4,0.06666666666666667,0.0,flat
123,punc_seed4_anchor,other,0.07700325920138568,scalar_l8_train8e5,0.08608379957245893,0.9080540371073254,positive
124,hotpot_longctx_seed8_qfirst_discovery,hotpot,0.06666666666666667,scalar_l8_train1e4,0.06666666666666667,0.0,flat
124,punc_seed5_anchor,other,0.08168650254228266,scalar_l8_train8e5,0.08560340977044817,0.39169072281655115,positive
125,hotpot_seed15_discovery,hotpot,0.10713160713160713,scalar_l8_train1e4,0.10596610596610596,-0.11655011655011677,negative
125,protein_ss_seed12_discovery,protein_ss,0.3113213028013785,head_l8,0.29571800724138636,-1.5603295559992125,negative
126,hotpot_seed16_discovery,hotpot,0.06140931140931142,scalar_l8_train1e4,0.06122616122616122,-0.018315018315019638,negative
126,protein_ss_seed13_discovery,protein_ss,0.25783699059561127,scalar_l8_train8e5,0.23286861443641102,-2.496837615920025,negative
127,mbpp_longctx_seed2_repair,mbpp_longctx,0.09298109298109299,scalar_l8_train1e4,0.14011914011914012,4.713804713804713,positive
127,hotpot_longctx_seed9_discovery,hotpot,0.06666666666666667,scalar_l8_train1e4,0.06666666666666667,0.0,flat
128,punc_seed6_anchor,other,0.08808490068809277,scalar_l8_train1e4,0.08804558942148376,-0.003931126660901285,negative
128,hotpot_seed17_discovery,hotpot,0.10215460215460216,head_l8,0.1035878535878536,0.1433251433251445,positive
129,arc_mc_seed2_discovery,arc_mc,0.375,scalar_l8_train1e4,0.375,0.0,flat
129,protein_contact_seed2_discovery_fix,protein_contact,0.96875,scalar_l8_train1e4,0.96875,0.0,flat
130,hotpot_seed18_discovery,hotpot,0.11873936873936874,scalar_l8_train1e4,0.11873936873936874,0.0,flat
130,protein_ss_seed14_discovery,protein_ss,0.30718763994626064,scalar_l8_train1e4,0.2968304843304843,-1.0357155615776326,negative
131,mbpp_seed9_headprobe,mbpp,0.4230669409402441,scalar_l8_sched_cos,0.42717952898948375,0.41125880492396405,positive
131,hotpot_longctx_seed10_discovery,hotpot,0.1111111111111111,scalar_l8_train1e4,0.06944444444444443,-4.166666666666667,negative
132,arc_seed9_discovery,other,0.09947968537563913,head_l8,0.10331122955400412,0.38315441783649956,positive
132,protein_contact_seed3_discovery_fix,protein_contact,0.96875,scalar_l8_train1e4,0.96875,0.0,flat
133,hotpot_seed19_discovery,hotpot,0.11614061614061615,head_l8,0.11497511497511498,-0.11655011655011677,negative
133,protein_ss_seed15_discovery,protein_ss,0.3037128905160906,scalar_l8_train1e4,0.29961452986035286,-0.40983606557377095,negative
134,punc_seed7_anchor,other,0.07753637748134172,scalar_l8_train1e4,0.08854182338724081,1.1005445905899094,positive
134,mbpp_seed11_anchor,mbpp,0.4200876651102896,scalar_l8_sched_cos,0.42859599941047904,0.8508334300189435,positive
135,punc_seed8_anchor,other,0.08919580796300663,scalar_l8_train8e5,0.08712541458826543,-0.20703933747412,negative
135,mbpp_seed10_headprobe,mbpp,0.4234081105121829,head_l10_strong,0.4279744415491022,0.456633103691928,positive
136,arc_mc_seed3_discovery,arc_mc,0.2916666666666667,scalar_l8_sched_cos,0.4166666666666667,12.5,positive
136,hotpot_seed20_discovery,hotpot,0.10072135072135073,scalar_l8_train1e4,0.10856485856485858,0.7843507843507846,positive
151,mbpp_seed17_headprobe,mbpp,0.41242394500313057,scalar_l8_train8e5,0.4097719891837539,-0.2651955819376661,negative
151,punc_seed12_anchor,other,0.09124743271536669,scalar_l8_train8e5,0.08585444262044166,-0.5392990094925026,negative
152,arc_mc_seed10_discovery,arc_mc,0.3333333333333333,scalar_l8_sched_cos,0.3333333333333333,0.0,flat
152,protein_ss_seed22_discovery,protein_ss,0.2959609754377169,scalar_l8_train8e5,0.3025059610135653,0.6544985575848428,positive
153,arc_mc_seed11_discovery,arc_mc,0.3333333333333333,scalar_l8_train1e4,0.375,4.166666666666669,positive
153,protein_ss_seed23_discovery,protein_ss,0.29134179162593765,head_l8,0.29134179162593765,0.0,flat
154,mbpp_seed18_headprobe,mbpp,0.42110009417701727,scalar_l8_sched_cos,0.43208425968606967,1.0984165509052402,positive
154,hotpot_seed25_discovery,hotpot,0.053833553833553836,scalar_l8_train1e4,0.11497511497511498,6.114156114156114,positive
155,arc_mc_seed12_discovery,arc_mc,0.3333333333333333,scalar_l8_train8e5,0.4166666666666667,8.333333333333337,positive
155,protein_ss_seed24_discovery,protein_ss,0.2518830745525661,scalar_l8_train8e5,0.30593711843711846,5.405404388455237,positive
156,mbpp_seed19_anchor,mbpp,0.40021024998723487,scalar_l8_sched_cos,0.4291546854895271,2.8944435502292256,positive
156,punc_seed13_anchor,other,0.08566847110233644,scalar_l8_train1e4,0.08497639868030622,-0.06920724220302182,negative
157,arc_mc_seed13_discovery,arc_mc,0.2916666666666667,scalar_l8_train8e5,0.5,20.833333333333332,positive
157,hotpot_seed26_discovery,hotpot,0.06140931140931142,scalar_l8_train8e5,0.132993132993133,7.158382158382159,positive
158,protein_ss_seed25_discovery,protein_ss,0.24114390932873003,scalar_l8_train8e5,0.2641238512949039,2.2979941966173865,positive
158,mbpp_longctx_seed5_repair,mbpp_longctx,0.11542778209444876,scalar_l8_train8e5,0.16576016576016575,5.033238366571699,positive
159,mbpp_seed20_headprobe,mbpp,0.4031808000133792,head_l10_strong,0.4203236648374918,1.7142864824112591,positive
159,punc_seed14_anchor,other,0.07652174679261244,head_l8,0.08708610332165644,1.0564356529044,positive
160,arc_mc_seed14_discovery,arc_mc,0.2916666666666667,scalar_l8_train1e4,0.3333333333333333,4.1666666666666625,positive
160,protein_ss_seed26_discovery,protein_ss,0.26501274149579235,head_l8,0.26685512763098973,0.18423861351973825,positive
161,arc_mc_seed15_discovery,arc_mc,0.3333333333333333,scalar_l8_train8e5,0.375,4.166666666666669,positive
161,protein_ss_seed27_discovery,protein_ss,0.27609158083296015,scalar_l8_train1e4,0.29557907976153086,1.9487498928570712,positive
162,mbpp_seed21_headprobe,mbpp,0.41518570432597585,scalar_l8_train8e5,0.4243680680332264,0.9182363707250563,positive
162,hotpot_seed27_discovery,hotpot,0.09457884457884458,scalar_l8_train8e5,0.09198009198009198,-0.2598752598752599,negative
163,arc_mc_seed16_discovery,arc_mc,0.2916666666666667,scalar_l8_sched_cos,0.3333333333333333,4.1666666666666625,positive
163,protein_ss_seed28_discovery,protein_ss,0.29134179162593765,scalar_l8_train1e4,0.30533732836364413,1.3995536737706482,positive
164,mbpp_seed22_anchor,mbpp,0.41895989271554884,head_l10_strong,0.4404247791125619,2.146488639701305,positive
164,punc_seed15_anchor,other,0.09126620133774783,head_l8,0.09197834081339555,0.07121394756477162,positive
165,arc_mc_seed17_discovery,arc_mc,0.375,scalar_l8_train1e4,0.2916666666666667,-8.333333333333332,negative
165,hotpot_seed28_discovery,hotpot,0.09601209601209602,scalar_l8_train8e5,0.12281862281862284,2.6806526806526816,positive
166,protein_ss_seed29_discovery,protein_ss,0.30374548962285597,scalar_l8_train1e4,0.3001245343069854,-0.36209553158705887,negative
166,mbpp_longctx_seed6_repair,mbpp_longctx,0.10308210308210308,head_l8,0.14711214711214712,4.403004403004404,positive
167,mbpp_seed23_headprobe,mbpp,0.3957373316873763,head_l10_strong,0.43304698711938533,3.7309655432009037,positive
167,punc_seed16_anchor,other,0.07089656046180769,scalar_l8_train8e5,0.08427968889515484,1.3383128433347158,positive
168,arc_mc_seed18_discovery,arc_mc,0.3333333333333333,scalar_l8_train1e4,0.375,4.166666666666669,positive
168,protein_ss_seed30_discovery,protein_ss,0.3152834008097166,scalar_l8_train1e4,0.3118533513270355,-0.3430049482681108,negative
169,arc_mc_seed19_discovery,arc_mc,0.2916666666666667,scalar_l8_train8e5,0.4166666666666667,12.5,positive
169,protein_ss_seed31_discovery,protein_ss,0.29134179162593765,head_l8,0.2921352526615685,0.07934610356308269,positive
170,mbpp_seed24_headprobe,mbpp,0.4002650651624782,scalar_l8_train8e5,0.4288190557421327,2.8553990579654522,positive
170,hotpot_seed29_discovery,hotpot,0.10475335475335475,scalar_l8_train1e4,0.11116361116361118,0.641025641025643,positive
171,arc_mc_seed20_discovery,arc_mc,0.3333333333333333,scalar_l8_train1e4,0.4166666666666667,8.333333333333337,positive
171,protein_ss_seed32_discovery,protein_ss,0.28332918300023563,scalar_l8_train8e5,0.30087304264935844,1.7543859649122806,positive
172,mbpp_seed25_anchor,mbpp,0.4207630873108126,scalar_l8_train8e5,0.4347334455931741,1.397035828236154,positive
172,punc_seed17_anchor,other,0.09126620133774783,scalar_l8_train1e4,0.09191896249316905,0.06527611554212193,positive
173,arc_mc_seed21_discovery,arc_mc,0.2916666666666667,scalar_l8_train1e4,0.3333333333333333,4.1666666666666625,positive
173,hotpot_seed30_discovery,hotpot,0.09574434574434576,head_l8,0.11354186354186353,1.7797517797517772,positive
174,protein_ss_seed33_discovery,protein_ss,0.287814889788574,scalar_l8_train1e4,0.3019815832315832,1.4166693443009193,positive
174,mbpp_longctx_seed7_repair,mbpp_longctx,0.1262194595527929,scalar_l8_train1e4,0.14262280928947593,1.640334973668303,positive
175,mbpp_seed26_headprobe,mbpp,0.4098009533335136,scalar_l8_train8e5,0.424032438285832,1.4231484952318407,positive
175,punc_seed18_anchor,other,0.07792172495896584,head_l8,0.09124743271536669,1.332570775640085,positive
176,arc_mc_seed22_discovery,arc_mc,0.4166666666666667,scalar_l8_sched_cos,0.4166666666666667,0.0,flat
176,protein_ss_seed34_discovery,protein_ss,0.3266465765933647,head_l8,0.2923661986161986,-3.42803779771661,negative
177,arc_mc_seed23_discovery,arc_mc,0.375,scalar_l8_sched_cos,0.375,0.0,flat
177,protein_ss_seed35_discovery,protein_ss,0.31922621725253303,scalar_l8_train8e5,0.31450554805817965,-0.47206691943533774,negative
178,mbpp_seed27_headprobe,mbpp,0.4181208183470628,head_l10_strong,0.4185061497278692,0.03853313808064307,positive
178,hotpot_seed31_discovery,hotpot,0.09314559314559316,scalar_l8_train8e5,0.10713160713160713,1.398601398601397,positive
179,arc_mc_seed24_discovery,arc_mc,0.3333333333333333,scalar_l8_train1e4,0.375,4.166666666666669,positive
179,protein_ss_seed36_discovery,protein_ss,0.29134179162593765,head_l8,0.29134179162593765,0.0,flat
180,mbpp_seed28_anchor,mbpp,0.4246689313593863,head_l10_strong,0.42583424008763376,0.11653087282474384,positive
180,punc_seed19_anchor,other,0.08739282826606254,scalar_l8_train1e4,0.08984856911842787,0.2455740852365329,positive
181,arc_mc_seed25_discovery,arc_mc,0.3333333333333333,scalar_l8_train8e5,0.4166666666666667,8.333333333333337,positive
181,hotpot_seed32_discovery,hotpot,0.08049588256355174,scalar_l8_train1e4,0.10215460215460216,2.1658719591050426,positive
182,protein_ss_seed37_discovery,protein_ss,0.29134179162593765,scalar_l8_train1e4,0.30689655172413793,1.5554760098200282,positive
182,mbpp_longctx_seed8_repair,mbpp_longctx,0.15496848830182164,head_l8,0.1857031857031857,3.0734697401364057,positive
183,mbpp_seed29_headprobe,mbpp,0.4074900056166782,scalar_l8_train8e5,0.42756827868335456,2.007827306667637,positive
183,punc_seed20_anchor,other,0.08144906181963603,head_l8,0.09333659471248905,1.188753289285302,positive
184,arc_mc_seed26_discovery,arc_mc,0.375,scalar_l8_train8e5,0.375,0.0,flat
184,protein_ss_seed38_discovery,protein_ss,0.2776402297760432,head_l8,0.2954075531749099,1.776732339886672,positive
185,arc_mc_seed27_discovery,arc_mc,0.4166666666666667,scalar_l8_sched_cos,0.4166666666666667,0.0,flat
185,protein_ss_seed39_discovery,protein_ss,0.2561203626881593,scalar_l8_train8e5,0.29755392912172574,4.143356643356643,positive
186,mbpp_seed30_headprobe,mbpp,0.4306208575439345,scalar_l8_train8e5,0.4174937206611415,-1.312713688279299,negative
186,hotpot_seed33_discovery,hotpot,0.07311731710227949,scalar_l8_train1e4,0.10480060480060481,3.1683287698325318,positive
187,arc_mc_seed28_discovery,arc_mc,0.2916666666666667,scalar_l8_train8e5,0.3333333333333333,4.1666666666666625,positive
187,protein_ss_seed40_discovery,protein_ss,0.2968304843304843,head_l8,0.2968304843304843,0.0,flat
188,mbpp_seed31_anchor,mbpp,0.4188229304643221,head_l10_strong,0.4261698698350282,0.7346939370706074,positive
188,punc_seed21_anchor,other,0.07971274658619572,head_l8,0.09513957440943316,1.5426827823237441,positive
189,arc_mc_seed29_discovery,arc_mc,0.2916666666666667,scalar_l8_train1e4,0.375,8.333333333333332,positive
189,hotpot_seed34_discovery,hotpot,0.08413658413658415,head_l8,0.10856485856485858,2.442827442827443,positive
190,protein_ss_seed41_discovery,protein_ss,0.2968304843304843,head_l8,0.2968304843304843,0.0,flat
190,mbpp_longctx_seed9_repair,mbpp_longctx,0.11767245100578434,scalar_l8_train8e5,0.17517050850384183,5.749805749805749,positive
191,mbpp_seed32_headprobe,mbpp,0.4127623446627972,head_l10_strong,0.42092950939104784,0.8167164728250631,positive
191,punc_seed22_anchor,other,0.08166878853493136,head_l8,0.09057412891571763,0.8905340380786275,positive
192,arc_mc_seed30_discovery,arc_mc,0.4166666666666667,scalar_l8_train8e5,0.3333333333333333,-8.333333333333337,negative
192,protein_ss_seed42_discovery,protein_ss,0.3054156491656491,scalar_l8_train8e5,0.31041010646273803,0.4994457297088917,positive
193,arc_mc_seed31_discovery,arc_mc,0.3333333333333333,scalar_l8_sched_cos,0.375,4.166666666666669,positive
193,protein_ss_seed43_discovery,protein_ss,0.3115903164631978,scalar_l8_train1e4,0.32465512070775226,1.3064804244554473,positive
194,mbpp_seed33_headprobe,mbpp,0.4016048244555032,scalar_l8_sched_cos,0.4207616945173506,1.9156870061847409,positive
194,hotpot_seed35_discovery,hotpot,0.10999810999811001,scalar_l8_train1e4,0.09982359982359983,-1.0174510174510183,negative
195,arc_mc_seed32_discovery,arc_mc,0.375,scalar_l8_sched_cos,0.4583333333333333,8.333333333333332,positive
195,protein_ss_seed44_discovery,protein_ss,0.30026346178684094,head_l8,0.2858369510875186,-1.4426510699322326,negative
196,mbpp_seed34_anchor,mbpp,0.4063542051499232,head_l10_strong,0.41451115376182274,0.8156948611899528,positive
196,punc_seed23_anchor,other,0.08636302222848818,head_l8,0.09464554255369144,0.8282520325203255,positive
197,arc_mc_seed33_discovery,arc_mc,0.2916666666666667,scalar_l8_sched_cos,0.3333333333333333,4.1666666666666625,positive
197,hotpot_seed36_discovery,hotpot,0.10713160713160713,scalar_l8_train1e4,0.09314559314559316,-1.398601398601397,negative
198,protein_ss_seed45_discovery,protein_ss,0.275053284921706,scalar_l8_train1e4,0.31194221093433133,3.688892601262533,positive
198,mbpp_longctx_seed10_repair,mbpp_longctx,0.09298109298109299,head_l8,0.16256582923249588,6.958473625140289,positive
199,mbpp_seed35_headprobe,mbpp,0.4379461779914269,scalar_l8_sched_cos,0.4276857435228476,-1.0260434468579271,negative
199,punc_seed24_anchor,other,0.09343722422677918,scalar_l8_train8e5,0.08950253290741274,-0.393469131936644,negative
200,arc_mc_seed34_discovery,arc_mc,0.375,scalar_l8_train1e4,0.375,0.0,flat
200,protein_ss_seed46_discovery,protein_ss,0.2968304843304843,head_l8,0.2968304843304843,0.0,flat
201,arc_mc_seed35_discovery,arc_mc,0.3333333333333333,scalar_l8_train8e5,0.3333333333333333,0.0,flat
201,protein_ss_seed47_discovery,protein_ss,0.2968304843304843,scalar_l8_train8e5,0.2969088051324893,0.007832080200498304,positive
202,mbpp_seed36_headprobe,mbpp,0.418338334854172,scalar_l8_sched_cos,0.4138873471452657,-0.44509877089062844,negative
202,hotpot_seed37_discovery,hotpot,0.09955584955584956,head_l8,0.09457884457884458,-0.4977004977004984,negative
203,arc_mc_seed36_discovery,arc_mc,0.2916666666666667,scalar_l8_sched_cos,0.3333333333333333,4.1666666666666625,positive
203,protein_ss_seed48_discovery,protein_ss,0.26984930274403957,scalar_l8_train8e5,0.3237902448428764,5.394094209883682,positive
204,mbpp_seed37_anchor,mbpp,0.4158704199292959,scalar_l8_sched_cos,0.43946482159151845,2.359440166222254,positive
204,punc_seed25_anchor,other,0.09794135147281359,scalar_l8_train8e5,0.08958115544063076,-0.8360196032182826,negative
205,arc_mc_seed37_discovery,arc_mc,0.2916666666666667,scalar_l8_sched_cos,0.375,8.333333333333332,positive
205,hotpot_seed38_discovery,hotpot,0.07942732942732944,head_l8,0.10999810999811001,3.0570780570780567,positive
206,protein_ss_seed49_discovery,protein_ss,0.31322303651147615,scalar_l8_train8e5,0.31283868637038015,-0.03843501410960015,negative
206,mbpp_longctx_seed11_repair,mbpp_longctx,0.08918242251575585,scalar_l8_train8e5,0.15565915565915567,6.647673314339982,positive
207,mbpp_seed38_headprobe,mbpp,0.4148473046663092,scalar_l8_train8e5,0.4337237864387186,1.8876481772409415,positive
207,punc_seed26_anchor,other,0.08144906181963603,scalar_l8_train8e5,0.08148837308624503,0.003931126660899897,positive
208,arc_mc_seed38_discovery,arc_mc,0.375,scalar_l8_train8e5,0.375,0.0,flat
208,protein_ss_seed50_discovery,protein_ss,0.2968304843304843,head_l8,0.2968304843304843,0.0,flat
209,arc_mc_seed39_discovery,arc_mc,0.3333333333333333,scalar_l8_train1e4,0.4166666666666667,8.333333333333337,positive
209,protein_ss_seed51_discovery,protein_ss,0.2904127170831234,head_l8,0.29604392926761347,0.5631212184490086,positive
210,mbpp_seed39_headprobe,mbpp,0.40273536676251603,scalar_l8_sched_cos,0.42419194342271266,2.1456576660196625,positive
210,hotpot_seed39_discovery,hotpot,0.10242235242235243,scalar_l8_train1e4,0.11497511497511498,1.2552762552762553,positive
211,arc_mc_seed40_discovery,arc_mc,0.375,scalar_l8_sched_cos,0.4166666666666667,4.166666666666669,positive
211,protein_ss_seed52_discovery,protein_ss,0.2968304843304843,scalar_l8_train1e4,0.30758508732646667,1.0754602995982354,positive
212,mbpp_seed40_anchor,mbpp,0.4248715126543181,head_l10_strong,0.4285904595859347,0.3718946931616618,positive
212,punc_seed27_anchor,other,0.08417395084355468,scalar_l8_train8e5,0.09061344018232663,0.6439489338771948,positive
213,arc_mc_seed41_discovery,arc_mc,0.3333333333333333,scalar_l8_sched_cos,0.375,4.166666666666669,positive
213,hotpot_seed40_discovery,hotpot,0.12514962514962516,scalar_l8_train1e4,0.10999810999811001,-1.5151515151515151,negative
214,protein_ss_seed53_discovery,protein_ss,0.2968304843304843,head_l8,0.2968304843304843,0.0,flat
214,mbpp_longctx_seed12_repair,mbpp_longctx,0.1603211603211603,scalar_l8_train8e5,0.1834585167918501,2.313735647068979,positive
215,mbpp_seed41_headprobe,mbpp,0.42290189597881905,scalar_l8_train8e5,0.41586527355758124,-0.7036622421237815,negative
215,punc_seed28_anchor,other,0.08497639868030622,head_l8,0.08855953739459212,0.3583138714285894,positive
216,arc_mc_seed42_discovery,arc_mc,0.375,scalar_l8_train8e5,0.3333333333333333,-4.166666666666669,negative
216,protein_ss_seed54_discovery,protein_ss,0.29557907976153086,scalar_l8_train8e5,0.3173795656026045,2.1800485841073636,positive
217,arc_mc_seed43_discovery,arc_mc,0.375,scalar_l8_train1e4,0.375,0.0,flat
217,protein_ss_seed55_discovery,protein_ss,0.3636381508680942,scalar_l8_train8e5,0.33215141713178375,-3.148673373631045,negative
218,mbpp_seed42_headprobe,mbpp,0.41861872314361004,head_l10_strong,0.4222250966594858,0.36063735158757826,positive
